1	1	0
2	2	400
3	3	900
4	4	1600
5	5	2500
6	6	3600
7	7	4900
8	8	6400
9	9	8100
10	10	10000
11	11	12100
12	12	14400
13	13	16900
14	14	19600
15	15	22500
16	16	25600
17	17	28900
18	18	32400
19	19	36100
20	20	40000
21	21	44100
22	22	48400
23	23	52900
24	24	57600
25	25	62500
26	26	67600
27	27	72900
28	28	78400
29	29	84100
30	30	90000
31	31	1336336
32	32	1500625
33	33	1679616
34	34	1874161
35	35	2085136
36	36	2313441
37	37	2560000
38	38	2825761
39	39	3111696
40	40	3418801
41	41	3748096
42	42	4100625
43	43	4477456
44	44	4879681
45	45	5308416
46	46	5764801
47	47	6250000
48	48	6765201
49	49	7311616
50	50	7890481
51	51	8503056
