//ID	Lv	Experience Formula
1		1		0
2		2		5
3		3		15
4		4		35
5		5		101
6		6		250
7		7		500
8		8		1000
9		9		1974
10		10		3208
11		11		4986
12		12		7468
13		13		10844
14		14		15338
15		15		21210
16		16		28766
17		17		38356
18		18		50382
19		19		65306
20		20		83656
21		21		106032
22		22		133112
23		23		165668
24		24		204564
25		25		250780
26		26		305412
27		27		369692
28		28		444998
29		29		532870
30		30		635026
31		31		753378
32		32		890062
33		33		1047438
34		34		1228138
35		35		1435074
36		36		1671470
37		37		1940892
38		38		2247288
39		39		2595010
40		40		2988860
41		41		3434132
42		42		3936658
43		43		4502856
44		44		5139778
45		45		5855180
46		46		6657576
47		47		7556310
48		48		8561630
49		49		9684764
50		50		10938016
51		51		12334856
52		52		13890020
53		53		15619622
54		54		17541282
55		55		19674240
56		56		22039516
57		57		24660044
58		58		27560852
59		59		30769230
60		60		37746418
61		61		45876427
62		62		59571153
63		63		75703638
64		64		94615279
65		65		116688304
66		66		155291059
67		67		186418013
68		68		238159614
69		69		298622278
70		70		368975850
71		71		450525549
72		72		568409779
73		73		679324744
74		74		806544569
75		75		952091724
76		76		1188099236
77		77		1480429211
78		78		1776125584
79		79		2091634902
80		80		2425349810
81		81		2440895086
82		82		2458896515
83		83		2479742169
84		84		2503881436
85		85		2531834707
86		86		2564204594
87		87		2601688923
88		88		2645095775
89		89		2695360909
90		90		2753567934
91		91		2820971668
92		92		2899025191
93		93		2989411170
94		94		3094078133
95		95		3215282476
96		96		3355637105
97		97		3518167765
98		98		3706378269
99		99		3924326032
100		100		4176709541
101		101		4454331401
102		102		4759715447
103		103		5095637898
104		104		5465152594
105		105		5871618760
106		106		6318731542
107		107		6780864562
108		108		7259017820
109		109		7754191316
110		110		8267385050
111		111		8799599022
112		112		9351833232
113		113		9925087680
114		114		10520362366
115		115		11138657290
116		116		11780972452
117		117		12448307852
118		118		13141663490
119		119		13862039366
120		120		14610435480
121		121		15433671205
122		122		16339230502
123		123		17335345728
124		124		18431072476
125		125		19636371899
126		126		20962201264
127		127		22420613566
128		128		24024867098
129		129		25789545983
130		130		27730692757
